"interface","operation","size_mb","mean_sec","std_sec","n"
"dvs1","add",1,0.003,NA,1
"dvs1","add",5,0.003,NA,1
"dvs1","add",10,0.00799999999999998,NA,1
"dvs1","add",50,0.051,NA,1
"dvs1","add",100,0.101,NA,1
"dvs1","add",500,0.43,NA,1
"dvs1","add",1000,0.971,NA,1
"dvs1","add",10000,9.281,NA,1
"dvs1","status",1,0.0022000000000002,0.00383405790253626,5
"dvs1","status",5,0.00120000000000005,0.00109544511501037,5
"dvs1","status",10,0.000600000000000378,0.000547722557505511,5
"dvs1","status",50,0.000199999999999889,0.00044721359549971,5
"dvs1","status",100,0.000600000000000023,0.000547722557505187,5
"dvs1","status",500,0.000399999999999778,0.000547722557504863,5
"dvs1","status",1000,0.000999999999999801,7.9441093495795e-16,5
"dvs1","status",10000,0.000600000000000023,0.000547722557505187,5
"dvs2","add",1,0.0109999999999997,NA,1
"dvs2","add",5,0.0129999999999999,NA,1
"dvs2","add",10,0.0249999999999999,NA,1
"dvs2","add",50,0.065,NA,1
"dvs2","add",100,0.106,NA,1
"dvs2","add",500,0.419,NA,1
"dvs2","add",1000,0.78,NA,1
"dvs2","add",10000,7.25,NA,1
"dvs2","status",1,0.00620000000000012,0.00109544511501094,5
"dvs2","status",5,0.00600000000000023,0,5
"dvs2","status",10,0.00599999999999952,9.72950730448892e-16,5
"dvs2","status",50,0.00600000000000023,0,5
"dvs2","status",100,0.00580000000000034,0.00044721359549971,5
"dvs2","status",500,0.00579999999999998,0.000447213595500505,5
"dvs2","status",1000,0.00620000000000012,0.00044721359549971,5
"dvs2","status",10000,0.00579999999999927,0.000447213595500107,5
